StockCode,Description,total_products_sold,total_transactions,Revenue,total_customers_bought,Number_Countries_sold
20956,Check,152,1,0,0,1
90037B,Tiny crystal bracelet green,10,5,25.28,1,2
23052,Recycled acapulco mat turquoise,655,279,5957.59,147,15
47344B,NULL,16,1,0,0,1
17084N,Fairy dreams incense,1264,101,313.31,25,1
84251F,NULL,2,1,0,0,1
90119,Metalic leaves bag charms,83,36,205.06,3,1
21491,NULL,1,1,0,0,1
22125,Union jack hot water bottle,13,3,139.86,1,1
20734,NULL,13,3,0,0,1
20698,Little pink monster soft toy,17,8,43.35,7,1
22882,Number tile vintage font 3,109,43,215.65,13,1
84754,S/15 silver glass baubles in bag,702,63,878.16,35,1
90210C,Red   acrylic faceted bangle,99,10,130.51,5,1
22898,Childrens apron apples design,2414,365,5150.92,201,11
22748,Poppy's playhouse kitchen,2134,440,4916.53,233,15
85017C,Adjustment,1,1,0,0,1
21845,Dairy maid stripe mug,1958,90,1795.94,64,3
22759,Check,344,2,0,0,1
15044B,NULL,27,1,0,0,1
85106,NULL,582,3,0,0,1
22146,Easter craft ivy wreath with chick,1,1,1.95,1,1
79163,Sold as set on dotcom,24,1,0,0,1
21062,Party invites spaceman,538,74,457.38,55,8
47013C,Wine bottle dressing dark blue,64,13,14.41,7,1
84665,Square cherry blossom cabinet,125,20,743.75,14,3
90168,2 daisies hair comb,24,13,70.26,1,2
21135,Wet rusty,1152,2,0,0,1
gift_0001_10,Dotcomgiftshop gift voucher �10.00,9,8,74.97,0,1
23184,Bull dog bottle opener,887,268,4828.85,129,9
23453,Oval  mini portrait frame,316,47,615.98,40,5
90062,Carnival bracelet,45,27,570.78,6,1
22197,Small popcorn holder,20193,603,17082.94,228,11
21537,Red retrospot pudding bowl,387,68,1596.71,52,9
22261,Felt egg cosy white rabbit,583,108,548.11,61,5
22808,Set of 6 t-lights easter chicks,363,76,1091.97,51,4
16206B,Red purse with pink heart,7,2,8.75,2,2
23306,NULL,1516,4,0,0,1
22285,Hanging hen on nest decoration,828,114,1418.82,72,4
21578,Found,16,1,0,0,1
84546,NULL,45,1,0,0,1
23558,Landmark frame london bridge,415,52,4703.87,43,2
10135,Colouring pencils brown tube,2230,176,2206.14,92,6
23391,I love london mini rucksack,1,1,4.15,1,1
20711,Jumbo bag toys,5030,530,11054.93,152,9
90042C,NULL,10,1,0,0,1
15060B,NULL,61,2,0,0,1
84873A,NULL,5,1,0,0,1
22348,Tea bag plate red retrospot,4096,359,3593.49,144,17
22839,3 tier cake tin green and cream,459,211,7190.97,108,9
21801,Christmas tree decoration with bell,1287,126,545.38,22,1
21186,White dove honeycomb paper garland,2,1,6.72,0,1
20831,Gold photo frame,216,39,466.53,19,3
21724,Panda and bunnies sticker sheet,408,81,355.83,43,4
23366,Set 12 colouring pencils doily,2200,191,1636.1,112,9
22444,Grow your own plant in a can,871,61,1146.62,31,6
72732,Thrown away-can't sell,2472,1,0,0,1
22928,Yellow giant garden thermometer,294,119,2029.45,62,5
21832,Chocolate calculator,979,199,1831.35,83,10
21320,Glass chalice green  large,204,20,378.92,10,2
84620,Blue gingham rose cushion cover,2,1,11.9,1,1
90099,NULL,19,1,0,0,1
71270,Photo clip line,236,49,334.98,16,2
21595,Dad's cab electronic meter,2,2,16.94,0,1
85152,Hand over the chocolate   sign,8320,680,16063.95,270,7
21061,Party invites football,488,83,451.7,49,7
79030G,"Tumbler, new england",142,14,182.3,11,4
90130C,Green stone/crystal earrings,14,13,40.95,0,1
90178A,Amber chunky glass+bead necklace,8,8,95.25,6,1
48138,Doormat union flag,3763,623,25631.65,314,11
22035,Vintage caravan greeting card,1452,137,617.32,65,6
23199,Jumbo bag apples,15631,999,31759.94,344,15
BANK CHARGES,Bank charges,37,36,7505.64,10,1
90039D,Fire polished glass bracelet green,21,9,78.69,2,1
22052,NULL,100,2,0,0,1
21844,Red retrospot mug,1867,167,5226.29,100,10
22502,Picnic basket wicker 60 pieces,61,2,39619.5,1,1
47369B,Blue green embroidery cosmetic bag,35,22,97.13,3,1
20964,Polyester filler pad 60x40cm,2,1,5.1,1,1
85034B,3 white choc morris boxed candles,946,121,1637.07,80,4
84875A,NULL,17,1,0,0,1
23171,Regency tea plate green,6344,386,10198.24,195,14
22866,NULL,72,5,0,0,1
46126A,NULL,23,1,0,0,1
84968D,Set of 16 vintage red cutlery,161,59,1749.1,27,6
21394,Red polkadot beaker,3887,135,1612.35,88,10
90125D,Purple bertie glass bead bag charm,95,19,110.03,3,1
23161,Regency cake fork,1727,99,2160.3,58,7
21651,NULL,76,2,0,0,1
90181C,Black glass/shell/pearl necklace,1,1,9.15,0,1
22810,Set of 6 t-lights snowmen,998,167,3162.18,106,6
82583,Fba,160,1,0,0,1
85032D,Damaged,1,1,0,0,1
84625A,Pink new baroquecandlestick candle,498,44,628.78,24,7
85096,NULL,48,1,0,0,1
84568,Girls alphabet iron on patches,12442,147,2678.33,18,4
84856L,Large tahiti beach bag,2,2,17.82,0,1
22883,Number tile vintage font 4,101,33,193.43,9,1
23702,High resolution image,4,3,27,3,2
20816,NULL,11,1,0,0,1
23399,Home sweet home hanging heart,1914,225,1745.55,146,4
22380,Toy tidy spaceboy,1350,292,2893.16,114,13
84347,Rotating silver angels t-light hldr,18837,453,26747.18,193,12
23054,Recycled acapulco mat lavender,296,131,2613.18,81,12
35972,Check,3,1,0,0,1
85107,NULL,65,1,0,0,1
21123,Set/10 ivory polkadot party candles,1167,155,1410.84,66,9
22415,NULL,31,1,0,0,1
23284,NULL,28,4,0,0,1
90197B,Black glass bracelet w heart charms,35,27,174.73,1,1
62094B,Turq ice cream bum bag,19,8,63.21,2,2
84678,Classical rose small vase,145,15,252.09,11,4
23185,French style storage jar jam,318,31,115.14,27,2
21042,Red retrospot apron,340,136,2233.92,72,8
84016,Flag of st george car flag,27,2,12.16,1,1
84251B,NULL,60,1,0,0,1
20840,French floral cushion cover,545,75,642.52,35,5
20878,Set/9 christmas t-lights scented,24,7,30,7,1
22848,Bread bin diner style pink,334,136,5384.9,68,12
62097B,NULL,6,1,0,0,1
23400,Shelf with 4 hooks home sweet home,463,108,2421.84,76,4
85230E,Strawbry scented votive candle,1101,24,267.45,17,3
35609A,NULL,51,1,0,0,1
17011F,Origami sandlewood incense+flower,81,7,66.36,6,2
23518,Embroidered ribbon reel rachel,367,45,997.75,40,8
21157,Red retrospot washbag,78,34,225.5,12,1
22040,Botanical rose gift wrap,725,28,304.5,27,3
85130B,Beaded crystal heart green large,834,62,760.43,44,3
85144,NULL,38,1,0,0,1
21902,"Key fob , front  door",1971,212,1268.22,114,3
21242,Red retrospot plate,3408,308,5758.86,150,16
21110,NULL,151,1,0,0,1
48194,Doormat hearts,3421,595,22138.27,286,11
84952C,NULL,57,2,0,0,1
21278,NULL,18,2,0,0,1
84497,NULL,79,1,0,0,1
72819,Cupid design scented candles,225,43,509.07,28,4
22873,Number tile cottage garden 5,60,26,145.5,12,2
22732,3d vintage christmas stickers,1645,188,2162.75,102,8
46000S,Polyester filler pad 40x40cm,2670,193,2320,128,7
84846A,NULL,8,1,0,0,1
21051,Ribbons purse,192,51,377.2,23,2
16169K,Wrap folk art,200,8,84,8,3
22548,Heads and tails sporting fun,1975,209,2348.94,149,8
21987,Pack of 6 skull paper cups,2126,173,1355.1,106,11
23244,Round storage tin vintage leaf,873,108,1610.53,80,10
22414,Doormat neighbourhood witch,284,100,2054.59,37,5
21664,Ridged glass storage jar cream lid,98,18,350.22,15,1
22795,Sweetheart recipe book stand,1228,371,8649.7,170,9
22537,Magic drawing slate dinosaur,1977,172,864.16,115,7
84279P,Found,84,1,0,0,1
20933,NULL,3,1,0,0,1
84597C,NULL,18,2,0,0,1
22563,Happy stencil craft,2824,282,3349.43,171,8
85023B,Eau de nile jewelled photoframe,178,15,389.1,11,2
90190C,Silver/amethyst drop earrings leaf,20,19,58.43,4,1
22887,Number tile vintage font 8,78,23,126.78,8,1
22118,Joy wooden block letters,230,89,895.26,67,3
90214U,"Letter ""u"" bling key ring",12,1,3.48,1,1
85018C,NULL,3,1,0,0,1
40005B,Blue organdy round lampshade w bea,12,4,10.2,4,1
85126,Large round cutglass candlestick,3,2,33.89,1,1
35015,NULL,9,1,0,0,1
21976,Pack of 60 mushroom cake cases,5228,395,2885.85,182,20
23084,Amazon,1,1,0,0,1
21039,Red retrospot shopping bag,535,92,1384.29,57,7
84804A,Cream delphinium artificial flower,70,8,180.58,8,1
22829,NULL,5,2,0,0,1
10123C,NULL,18,1,0,0,1
21717,NULL,47,2,0,0,1
DOT,NULL,1000,1,0,0,1
35832,Woolly hat sock glove advent string,1,1,2.95,1,1
22660,Doormat i love london,364,102,2678.96,56,6
21065,Boom box speaker girls,562,90,1160.58,31,3
23152,NULL,23,1,0,0,1
90141A,Green pendant triple shell necklace,12,10,63.11,2,2
22897,Oven mitt apples design,1392,216,2074,135,8
85049D,NULL,30,4,0,0,1
17011F,NULL,18,1,0,0,1
AMAZONFEE,Amazon fee,34,34,249042.68,0,1
72798C,Set/4 garden rose dinner candle,7,3,11.55,3,1
21621,Re dotcom quick fix.,100,1,0,0,1
90194,Silver lariat black stone earrings,16,10,67.87,6,1
22304,Coffee mug blue paisley design,761,61,1352.88,38,3
23355,Hot water bottle keep calm,5912,790,29136.4,474,13
72800D,NULL,21,2,0,0,1
22892,Set of salt and pepper toadstools,2568,216,3136.79,118,10
20664,NULL,9,1,0,0,1
23465,Tuscan villa bird feeder,17,9,148.63,8,2
20847,Zinc heart lattice charger large,52,18,217.58,12,3
22960,Jam making set with jars,8953,1220,38094.92,574,26
85084,NULL,30,2,0,0,1
84929,Code mix up? 84930,967,1,0,0,1
47503H,Check,24,1,0,0,1
90200D,Pink sweetheart bracelet,175,78,725.32,21,1
85232D,NULL,144,2,0,0,1
85205B,Pink felt easter rabbit garland,122,29,323.15,22,3
23468,Tuscan villa bird table,19,11,156.75,11,2
20983,12 pencils tall tube red retrospot,2744,271,2380.76,185,13
84927D,La palmiera tile hook,49,15,56.06,9,2
84706F,Red peony table clock,16,10,47.2,9,1
23410,Curio cabinet linen and lace,37,19,298.25,16,2
17084P,Dragons blood incense,423,39,104.44,12,1
23291,Dolly girl childrens cup,1644,198,2071.53,104,15
22072,Red retrospot tea cup and saucer,868,172,2882.42,91,6
46000R,Polyester filler pad 45x30cm,103,38,149.35,22,1
21576,Lets go shopping cotton tote bag,252,78,585.34,40,8
20676,Red retrospot bowl,5045,451,6402.31,186,17
22840,Round cake tin vintage red,933,286,7061.79,194,14
79163,Black champagne glass,1539,38,631.71,25,1
21197,Multicolour  confetti in tube,305,28,417.61,13,6
21486,NULL,77,1,0,0,1
21793,Check,40,1,0,0,1
90128C,Green leaves and beads phone charm,2,2,4.97,0,1
23274,Star t-light holder willie winkie,1183,122,2009.95,85,6
23408,Photo frame linen and lace small,324,62,673.92,53,3
21248,NULL,18,1,0,0,1
23084,Add stock to allocate online orders,2,1,0,0,1
DCGS0070,Camouflage dog collar,1,1,12.72,0,1
79323S,"Unsaleable, destroyed.",674,1,0,0,1
23348,Sold with wrong barcode,57,1,0,0,1
gift_0001_50,Dotcomgiftshop gift voucher �50.00,4,4,167.56,0,1
23285,Pink vintage spot beaker,4809,192,4574.11,108,14
72807c,Set/3 vanilla scented candle in box,860,172,3703.2,84,8
90073,Vintage enamel & crystal earrings,27,18,134.7,4,1
21084,Set/6 collage paper cups,2634,182,777.7,90,8
22700,Black and white dog bowl,1218,56,2633.48,41,3
23234,Biscuit tin vintage christmas,1954,283,5126.02,201,12
22303,Coffee mug apples design,2890,271,6509.4,156,7
47344B,Blue flower des purse,44,6,43.66,6,2
90149,Silver flowr pink shell necklace,53,4,342.76,2,1
85035C,Rose 3 wick morris box candle,1138,131,1769.13,86,5
44236,NULL,12,2,0,0,1
22149,Check,80,2,0,0,1
84584,?,50,1,0,0,1
84797B,NULL,2,1,0,0,1
22378,Wall tidy retrospot,2284,294,3640.67,69,10
90214E,"Letter ""e"" bling key ring",72,30,53.2,6,1
21955,Doormat union jack guns and roses,1228,206,7580.82,108,6
20967,Grey floral feltcraft shoulder bag,265,83,1027.94,63,6
22137,Bathroom set love heart design,82,14,237.98,9,3
23268,Lighthouse trading zero invc incorr,192,1,0,0,1
22452,NULL,63,1,0,0,1
77079,Dolphin windmill,1,1,2.12,1,1
79071B,English rose metal waste bin,20,11,59,10,1
22095,Lads only tissue box,1652,145,1617.02,72,2
37424,NULL,6,1,0,0,1
23366,Set 12 colour pencils doiley,48,3,31.2,3,1
22917,Herb marker rosemary,1949,241,1348.02,132,7
21068,Vintage billboard love/hate mug,1680,201,1935.99,81,7
35649,Vintage bead cosmetic bag,57,35,156.85,5,2
22689,Doormat merry christmas red,728,149,5530.25,95,7
22117,Check,184,1,0,0,1
90161C,Ant copper lime boudicca bracelet,83,50,412.74,13,2
23354,6 gift tags 50's christmas,3800,325,3479.2,235,10
84842,Hello sailor bathroom set,14,9,52.5,8,1
22546,Mini jigsaw purdey,2104,87,800.4,50,10
22489,Pack of 12 traditional crayons,9721,445,4072.97,232,15
85044,NULL,1,1,0,0,1
85123A,Cream hanging heart t-light holder,61,9,178.51,7,1
21781,Ma campagne cutlery box,189,109,2944.95,52,4
22338,Star decoration painted zinc,4700,182,1246.18,94,8
82582,??,130,1,0,0,1
22729,Alarm clock bakelike orange,2354,462,9184.84,181,10
22954,Hen party cordon barrier tape,198,41,242.63,20,2
79191C,Retro plastic elephant tray,1263,78,946.83,58,9
84247N,Pack/12 blue folkart cards,22,18,64.9,16,1
23034,Drawer knob ceramic black,985,89,1457.37,57,8
22740,NULL,36,1,0,0,1
21808,"Christmas garland stars,trees",180,48,637.83,21,2
21270,Antique cream cutlery cupboard,50,36,530.19,12,2
23053,Recycled acapulco mat pink,365,165,3262.57,105,15
35637A,Ivory string curtain with pole,170,28,440.62,23,3
22983,Card billboard font,5471,446,2325.32,223,13
22454,Measuring tape babushka red,274,42,780.62,31,5
84927E,Flowers tile hook,61,14,84.36,10,2
20823,NULL,102,1,0,0,1
90192,Jade drop earrings w filigree,44,26,219,5,3
85067,NULL,9,2,0,0,1
21377,Small camphor wood field  mushroom,121,41,215.68,18,2
35817P,Thrown away,44,1,0,0,1
21825,NULL,14,1,0,0,1
84884A,Ant white wire heart spiral,340,105,1523.58,52,2
23118,Dotcom adjust,10,1,0,0,1
84754,NULL,242,1,0,0,1
23240,Set of 4 knick knack tins doily,2379,363,9838.13,230,18
20731,Posy candy bag,92,16,109.96,8,1
21460,Green easter egg hunt start post,28,11,56.78,9,2
84206C,Champagne tray blank card,8,2,1.52,2,1
22268,Decoration sitting bunny,1519,84,356.95,32,2
20866,?,230,1,0,0,1
23481,Pearlised ivory heart small,228,29,281.17,23,2
21340,Classic metal birdcage plant holder,1003,297,11598.22,179,11
21901,"Key fob , back door",1838,310,1283.74,143,3
84508C,Check,21,1,0,0,1
90200B,Black sweetheart bracelet,94,48,397.08,18,1
23289,Dolly girl childrens bowl,1634,195,2028.7,111,14
71495A,Cd wall tidy blue office,103,8,40.38,2,1
84709B,NULL,6,1,0,0,1
23564,Egg cup milkmaid ingrid,644,76,841.31,39,5
23032,Damages,60,1,0,0,1
84313C,Orange tv tray table,504,43,1165.91,17,1
90082B,Diamante bow brooch red colour,25,10,158.75,8,1
22849,Bread bin diner style mint,334,136,5202.18,79,11
51020B,Adjust,53,1,0,0,1
90005A,Jade green enamel hair comb,14,10,28.02,0,1
23153,Zinc sweetheart wire letter rack,267,91,1035.69,67,2
22029,Spaceboy birthday card,8173,528,3392.61,234,14
22432,Watering can pink bunny,1731,281,3370.12,158,10
72225C,NULL,226,2,0,0,1
22643,Set of 4 napkin charms leaves,238,48,441.83,29,1
51020B,Stripy design shower cap,198,16,70.86,13,1
85214,Tub 24 pink flower pegs,164,58,271.04,36,1
47421,Assorted colour lizard suction hook,994,55,393,16,4
84947,Antique silver tea glass engraved,8684,357,10268.06,178,3
22431,Watering can blue elephant,2068,339,4014.31,159,9
21090,Wet/mouldy,192,1,0,0,1
22248,Decoration  pink chick magic garden,613,111,542.09,43,2
72038P,Damages,990,1,0,0,1
84876B,NULL,59,1,0,0,1
21181,NULL,22,2,0,0,1
21316,NULL,5,1,0,0,1
84988,?,3000,1,0,0,1
21634,NULL,169,1,0,0,1
22130,Party cone christmas decoration,2422,112,2769.16,80,5
84596J,Mixed nuts light green bowl,568,68,296.45,21,2
16043,Pop art push down rubber,98,2,11.76,2,1
22415,White tissue ream,19,13,151.05,13,1
DCGS0070,NULL,8,1,0,0,1
84613A,Pink new baroque flock candlestick,6,3,27.9,3,2
16169P,NULL,75,1,0,0,1
23521,Wall art cat and bird,143,40,469.73,18,2
84708B,Pink jewelled photo frame,62,19,326.35,13,3
23051,Recycled acapulco mat blue,367,164,3239.99,95,11
DCGS0066P,NULL,3,1,0,0,1
21088,Set/6 fruit salad paper cups,1690,104,430.56,67,6
21421,Porcelain rose large,299,14,348.43,11,2
23493,Vintage doily travel sewing kit,3970,418,8509.38,282,14
85195,Hanging heart basket,11,3,23.1,3,2
22764,NULL,3,1,0,0,1
23645,Set 10 christmas cards hohoho 16956,9,4,22.41,0,1
23499,Set 12 vintage doily chalk,1312,110,586.23,86,5
22164,String of stars card holder,78,15,250.22,11,2
23251,Enamel mug pantry,12,1,15,1,1
35610A,Thrown away,1277,1,0,0,1
84732D,Cute rabbit ceature screen,11,2,4.29,2,1
21794,Adjustment,10,1,0,0,1
21174,Found,71,1,0,0,1
72803B,NULL,1,1,0,0,1
35970,NULL,217,1,0,0,1
72799F,Ivory pillar candle gold flock,144,30,421.13,19,2
21933,Pink vintage paisley picnic bag,2685,414,4991.88,198,12
35443,Rasta in bath w spliff ashtray,8,6,6.8,5,2
22776,Sweetheart 3 tier cake stand,308,169,3591.53,103,6
21823,Damaged,6,1,0,0,1
22307,Gold mug bone china tree of life,809,79,1015.54,53,7
90184A,Amber chunky bead bracelet w strap,13,9,117.73,4,1
20773,Blue paisley notebook,56,23,92.4,21,1
90003E,Green pair heart hair slides,27,15,101.11,2,2
35954,Check,24,1,0,0,1
20981,12 pencils tall tube woodland,1993,253,1756.72,157,14
23397,Damaged,9,1,0,0,1
21400,Red pudding spoon,881,72,128.63,42,1
85087,Candy spot cushion cover,340,126,1132.94,7,3
21089,Damaged,7,1,0,0,1
23691,Keep calm birthday wrap,50,2,21,2,1
22749,Feltcraft princess charlotte doll,2362,449,9216.16,275,14
21070,Vintage billboard mug,1106,107,1184.98,51,3
85006,NULL,21,1,0,0,1
22259,Felt farm animal hen,481,44,332.84,16,1
21804,White christmas garland stars trees,225,65,830.03,37,1
22638,Set of 4 napkin charms crowns,301,53,484.43,37,5
20894,Hanging bauble t-light holder large,33,15,108.71,9,1
22349,Dog bowl chasing ball design,1379,133,5430.27,86,6
22216,T-light holder white lace,588,68,512.93,17,2
21807,NULL,65,2,0,0,1
20896,NULL,5,1,0,0,1
72811,Small zinc/glass candleholder,53,8,78.93,6,1
90141C,Turq pendant triple shell necklace,10,8,52.31,2,2
84558A,3d dog picture playing cards,338,86,1016.72,49,5
77081,NULL,39,1,0,0,1
90038A,Glass and painted beads bracelet to,15,10,56.15,1,1
85049G,Chocolate box ribbons,1735,311,2293.11,162,7
37413,Icon mug revolutionary,703,81,284.49,52,2
90033,Ivory shell heart earrings,10,9,25.07,1,1
22602,Christmas retrospot heart wood,139,27,137.59,10,2
48129,Doormat topiary,927,209,6168.99,126,9
23603,Set 10 card kraft reindeer 17084,20,14,49.8,0,1
22410,Money box housekeeping design,237,58,247.42,34,5
85208,Set/12 funky felt flower peg in bag,223,48,416.91,22,1
21695,Small silver flower candle pot,284,41,857.68,35,3
22619,Set of 6 soldier skittles,2567,448,9910.04,250,18
21126,Set of 6 girls celebration candles,592,126,748.95,57,10
20856,??,140,1,0,0,1
23138,Single wire hook ivory heart,891,83,1248.91,60,3
21364,Peace small wood letters,31,25,229.71,19,1
20973,NULL,106,3,0,0,1
21829,Dinosaur keyrings assorted,6873,178,1483.42,104,11
17109D,Flower fairy incense bouquet,61,5,32.35,4,1
17109D,Adjustment,14,1,0,0,1
22070,Small red retrospot mug in box,1244,121,2690.94,64,12
20700,Green cat floral cushion cover,73,54,345.17,4,2
84929,Asstd fruit+flowers fridge magnets,2575,69,726.85,58,7
21765,NULL,2,1,0,0,1
21694,Small regal  silver candlepot,307,24,840.33,18,2
23203,Jumbo bag doiley patterns,8915,518,17314.45,299,11
22662,Lunch bag dolly girl design,6723,690,11088.93,312,16
90158,St tropez necklace,45,35,224.12,6,1
21931,Jumbo storage bag suki,13985,1201,31366.34,334,15
23044,Paper lantern 9 point holly star 23,18,5,74.7,5,1
22807,Set of 6 t-lights toadstools,818,195,2417.73,74,8
23374,Red spot paper gift bag,2472,134,1975.95,108,7
23368,Set 12 colour pencils dolly girl,2385,234,1683.45,134,11
22682,French blue metal door sign 7,700,121,910.5,52,2
20803,Damages,40,1,0,0,1
46115B,Green pop art mao cushion cover,12,2,2.28,1,1
84705C,Pink flock photo frame,12,1,15,1,1
23086,Zinc  star t-light holder,1233,47,1461.43,30,5
90196B,Black gemstone necklace 45cm,5,5,63.48,4,1
21258,NULL,7,2,0,0,1
84913A,Soft pink rose towel,273,124,952.83,10,3
37482P,Damaged,93,1,0,0,1
23545,Wrap red doiley,380,16,159.6,15,3
23351,Roll wrap 50's christmas,3631,357,4980.53,242,10
23231,Wrap  vintage doiley,100,2,42,2,2
84563A,Pink & white breakfast tray,96,35,369.84,11,5
85230F,NULL,48,1,0,0,1
23256,Childrens cutlery spaceboy,2165,368,8855.67,226,19
21181,Please one person metal sign,12361,855,25395.18,361,9
90040B,Murano style glass bracelet black,18,11,66.7,2,1
21098,Christmas toilet roll,3758,250,5120.67,115,6
79323W,White cherry lights,8,1,54,1,1
22984,Card gingham rose,2693,163,1096.09,91,12
21873,If you can't stand the heat mug,1709,120,1934.37,62,4
23131,Mistletoe heart wreath cream,630,112,2560.38,86,3
23203,Mailout,100,1,0,0,1
21561,Dinosaur lunch box with cutlery,1284,216,3132.48,116,11
21637,NULL,139,1,0,0,1
22937,Baking mould chocolate cup cakes,12,2,30.6,2,1
79190A,Retro plastic 70's tray,387,64,180.62,24,3
22114,NULL,363,4,0,0,1
21162,Toxic area  door hanger,1462,162,792.98,98,4
20748,Kensington coffee set,57,34,751.17,26,1
22877,Number tile cottage garden 9,64,20,140.06,13,2
37446,Mini cake stand with hanging cakes,1423,195,2064.94,94,10
84534B,NULL,103,4,0,0,1
90183C,Black drop earrings w long beads,10,10,29.05,1,1
22607,Wooden rounders garden set,1331,362,12568.47,224,6
85188A,Green metal swinging bunny,322,43,280.72,29,2
21095,NULL,55,2,0,0,1
21026,Space owl,255,68,315.75,20,3
35644,NULL,1,1,0,0,1
23551,Pack of 12 paisley park tissues,1840,136,839.84,88,7
16043,NULL,45,1,0,0,1
22218,NULL,2,1,0,0,1
22051,?,300,1,0,0,1
23348,NULL,794,5,0,0,1
16045,Popart wooden pencils asst,8900,68,380,61,4
90011B,Black crystal drop earrings,12,7,35.27,2,1
85125,Small round cut glass candlestick,161,33,760.39,14,2
79323B,Black cherry lights,16,3,108,2,1
84548,NULL,82,3,0,0,1
40016,Chinese dragon paper lanterns,5556,97,2136.34,54,3
23550,Wrap alphabet poster,1855,64,763.1,60,5
22326,Round snack boxes set of4 woodland,8575,749,24482.87,281,23
22430,Enamel watering can cream,644,206,3340.34,131,8
22841,Round cake tin vintage green,543,223,4205.12,157,11
23529,Dolly girl wall art,318,11,1055.94,10,1
84755,Colour glass t-light holder hanging,16470,633,10531.9,318,9
22523,?,90,1,0,0,1
90187A,Blue drop earrings w bead cluster,1,1,3.32,0,1
21739,Cosy slipper shoes small green,254,111,703.08,38,4
90118,Pink daisy bag charm,36,20,89.94,1,2
22816,Card motorbike santa,3987,266,1691.76,158,11
21821,Glitter star garland with bells,263,63,1082.05,35,3
22837,NULL,79,4,0,0,1
22655,Damages/showroom etc,11,1,0,0,1
22146,NULL,4,1,0,0,1
84803B,White allium  artificial flower,20,5,33.8,3,2
85197,Set of 12 mini bunnies in a bucket,34,19,71.4,18,1
85231G,Orange scented set/9 t-lights,610,88,519.55,49,2
90176E,Diamante necklace green,4,3,29.98,2,1
23008,Dolly girl baby gift set,440,137,6838.26,99,15
44089C,Lilac gauze butterfly lampshade,24,6,10.08,6,1
22570,NULL,79,4,0,0,1
10124G,Army camo bookcover tape,17,4,7.14,4,1
22596,Christmas star wish list chalkboard,3501,268,4141.14,197,7
21677,Hearts  stickers,847,120,748.04,62,6
72817,NULL,39,2,0,0,1
21481,Fawn blue hot water bottle,3396,497,11683.47,255,15
23404,Check,41,1,0,0,1
22842,Biscuit tin vintage red,609,177,3950.66,120,12
79067,Corona mexican tray,172,38,719.69,16,2
90175B,Pink glass chunky charm bracelet,10,9,91.68,0,1
90175A,White glass chunky charm bracelet,27,25,245.63,6,1
22280,Pocket bag pink paisely brown spot,468,95,509.59,26,3
22130,Sold as set on dotcom,390,1,0,0,1
90057,Crushed boxes,380,1,0,0,1
22591,NULL,36,1,0,0,1
23322,Mouldy,40,1,0,0,1
22050,NULL,125,2,0,0,1
22598,Christmas musical zinc tree,996,96,451.3,42,3
22500,Set of 2 tins jardin de provence,248,96,967.05,78,5
20956,NULL,288,1,0,0,1
85179a,Green bitty light chain,194,60,383.25,15,4
84688,Beach hut design blackboard,54,17,258.32,7,2
22136,Love heart sock hanger,379,85,680.73,37,4
85048,15cm christmas glass ball 20 lights,1400,283,11218.56,173,6
DCGS0076,Sunjar led night night light,3,2,48.39,0,1
23168,Classic cafe sugar dispenser,3129,343,4376.96,132,8
22492,Mini paint set vintage,26829,390,17065.22,213,21
21109,Large cake towel chocolate spots,925,104,2661.67,51,5
21136,Painted metal pears assorted,4696,372,7808.35,259,10
84078A,Set/4 white retro storage cubes,450,163,17611.55,79,7
22520,Childs garden trowel blue,722,116,622.1,88,6
23130,Mistletoe heart wreath green,891,181,3713.53,135,4
84963A,Pink painted kashmiri chair,4,1,171.8,1,1
84536B,Fairy cakes notebook a7 size,2155,181,912.35,74,7
22154,Angel decoration 3 buttons,3752,165,1639.61,87,3
21216,"Set 3 retrospot tea,coffee,sugar",2144,440,11461.31,150,18
22266,Easter decoration hanging bunny,1887,92,595.85,69,3
21208,Pastel colour honeycomb fan,986,88,713.76,50,10
46000S,Dotcom sales,190,2,0,0,1
21761,Damaged,2,1,0,0,1
21803,Check,38,1,0,0,1
22317,Five cats hanging decoration,286,89,879.67,35,10
21912,Vintage snakes & ladders,1788,398,7047.7,201,10
84946,Antique silver tea glass etched,4564,220,6485.51,119,3
90129D,Amber glass tassle bag charm,14,7,33.44,2,1
23106,Zinc plant pot holder,8,1,23.12,1,1
21090,Set/6 collage paper plates,2449,220,1288.23,98,8
15030,NULL,150,1,0,0,1
22965,3 traditional cookie cutters  set,162,4,304.2,4,2
23380,Pack of 12 doiley tissues,72,2,28.08,2,1
72803A,?,117,1,0,0,1
23218,Laurel star antique gold,379,40,483.03,27,3
35637C,Pink string curtain with pole,30,9,100.86,7,2
21678,Paisley pattern  stickers,125,32,111.86,16,3
21641,NULL,49,1,0,0,1
22133,Pink love heart shape cup,816,133,770.73,41,5
90179B,Purple fine bead necklace w tassel,3,3,17.59,0,1
23269,Incorrect stock entry.,1440,1,0,0,1
22911,Paper chain kit london,469,97,1375.79,68,5
21393,Blue polkadot pudding bowl,29,7,38.67,7,1
79323W,"Unsaleable, destroyed.",4830,1,0,0,1
84989a,75 green fairy cake cases,69,42,102.36,16,1
21382,Set/4 spring flower decoration,1151,129,1382.53,64,3
16015,Medium chinese style scissor,662,24,289.98,19,1
35591T,NULL,4,1,0,0,1
90201D,Green enamel flower ring,77,31,225.84,9,3
46118,Funky monkey cushion cover,232,46,317.17,12,1
